taxon_no,orig_no,taxon_name,taxon_rank,orig_name,orig_rank,reference_no,in_529,inferred_reason
389397,270049,Leptopodiinae,subfamily,Leptopodinae,subfamily,70197,yes,spelling variant (correction/misspelling)
390521,390520,Leontopithecus illigeri,species,Hapale illigeri,species,69615,yes,recombination
391002,229325,Eusthenopteron foordii,species,Eusthenopteron foordi,species,65383,yes,unclear (multiple changes)
392099,392098,Agassizia poriferus,species,Brissopsis poriferus,species,16640,yes,recombination
392120,392119,Mellita pentaporus,species,Echinus pentaporus,species,16640,yes,recombination
394369,390462,Rectisulcus macfarlandi,species,Antiplanes macfarlandi,species,69612,yes,recombination
394451,83166,Uyenoa benedenii,species,Oxyrhina benedenii,species,61545,no,recombination
395109,395108,Palaeodictyota ramulosus,species,Inocaulis ramulosus,species,52869,yes,recombination
395829,175559,Epilamprinae,family,Epilampridae,family,70208,no,spelling variant (correction/misspelling)
396118,396117,Ptychoparia granulosa,species,Crepicephalus (Loganellus) granulosus,species,32640,yes,unclear (multiple changes)
396131,396130,Ehmania oweni,species,Ptychoparia oweni,species,32640,yes,recombination
398872,368946,Pectunculus veatchii,species,Axinaea veatchii,species,59878,yes,recombination
399179,399177,Gyropleurodus francisci,species,Cestracion francisci,species,50617,yes,recombination
399742,399741,Dagyssia lineolata,species,Spiriferina paleotypus lineolata,subspecies,71088,yes,rank change
400119,400118,Atribonium obesa,species,Camarophoria obesa,species,27365,yes,recombination
400131,400130,Atribonium rhomboidalis,species,Stenoscisma rhomboidalis,species,27365,yes,recombination
400845,222858,Dakoticancroida,superfamily,Dakoticancroideae,superfamily,39037,no,spelling variant (correction/misspelling)
401032,87092,Pecten (Chlamys) latiauratus,species,Pecten latiauratus,species,71229,yes,reassignment (subgenus)
401159,401158,Mopalia acutus,species,Chiton acutus,species,71234,yes,recombination
401161,401160,Mopalia lignosus,species,Chiton lignosus,species,71234,yes,recombination
401164,401162,Mopalia ciliatus,species,Chiton ciliatus,species,71234,yes,recombination
401168,401167,Katharina tunicatus,species,Chiton tunicatus,species,71234,yes,recombination
402189,402188,Orithopsis siouxensis,species,Necrocarcinus siouxensis,species,71418,yes,recombination
402915,201182,Eryma antiquuum,species,Protoclytiopsis antiqua,species,47548,yes,unclear (multiple changes)
402940,216046,Tethysastacus tithonia,species,Eryma tithonia,species,40991,yes,recombination
402981,402546,Argobuccinum tejonensis,species,Tritonium (Trachytriton) tejonensis,species,71308,yes,recombination
403141,216015,Stenodactylina granulifea,species,Eryma granulifera,species,43355,yes,unclear (multiple changes)
403402,403400,Ithycythara branneri,species,Mangilia (Cythara) branneri,species,71769,yes,recombination
403441,351580,Orthopsis tricarinata,species,Necrocarcinus tricarinatus,species,57370,yes,unclear (multiple changes)
403459,403458,Orthopsis isericus,species,Palaeocorystes isericus,species,53627,yes,recombination
404047,404046,Scytophyllum pinnata,species,Aipteris pinnata,species,71506,yes,recombination
404721,404719,Aachenoxylon multidens,species,Aachenosaurus multidens,species,88260,yes,recombination
405006,405005,Ampelophyllites attenuatum,species,Ampelophyllum attenuatum,species,71641,yes,recombination
406022,168033,Psammacoma yoldiformis,species,Macoma yoldiformis,species,63217,yes,recombination
406023,102620,Tellina (Moerella) modesta,species,Angulus modesta,species,63217,yes,recombination
407284,407283,Homalopoma luridum,species,Leptothyra sanguinea lurida,subspecies,63217,yes,rank change
407397,407396,Paciocinebrina coryphaena,species,Tritonalia coryphaena,species,63217,yes,recombination
